TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,collidingObjectName,
15/07/2022 5:47:58 a.m.:142,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:155,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:167,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:181,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:195,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:217,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:232,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:245,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:257,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:270,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:283,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:295,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:309,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:323,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:345,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:358,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:371,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:384,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:397,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:410,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:423,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:437,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:451,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:474,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:488,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:502,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:515,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:530,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:545,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:558,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:573,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:588,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:608,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:623,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:636,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:649,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:662,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:675,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:689,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:703,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:716,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:732,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:751,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:767,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:781,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:795,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:808,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:823,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:836,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:850,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:864,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:881,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:901,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:914,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:927,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:939,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:952,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:966,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:979,77,0,0,0,0,,
15/07/2022 5:47:58 a.m.:993,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:6,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:20,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:42,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:55,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:69,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:83,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:98,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:112,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:126,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:139,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:152,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:173,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:186,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:199,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:212,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:226,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:238,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:253,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:267,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:280,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:301,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:315,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:329,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:342,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:356,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:369,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:382,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:395,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:411,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:432,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:447,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:462,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:477,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:491,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:505,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:518,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:530,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:544,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:567,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:581,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:595,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:608,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:622,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:635,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:649,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:663,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:676,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:692,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:712,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:726,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:742,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:756,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:770,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:783,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:796,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:809,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:826,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:845,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:858,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:871,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:885,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:899,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:913,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:927,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:940,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:955,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:977,77,0,0,0,0,,
15/07/2022 5:47:59 a.m.:991,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:5,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:20,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:35,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:48,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:62,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:75,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:89,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:111,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:124,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:138,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:151,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:164,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:179,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:193,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:208,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:222,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:245,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:258,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:277,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:294,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:325,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:342,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:357,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:375,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:396,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:417,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:439,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:456,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:472,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:489,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:512,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:534,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:558,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:584,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:600,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:623,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:644,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:666,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:689,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:717,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:734,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:756,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:778,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:799,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:822,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:852,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:867,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:888,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:910,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:932,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:954,77,0,0,0,0,,
15/07/2022 5:48:00 a.m.:983,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:0,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:22,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:44,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:66,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:89,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:116,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:132,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:155,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:177,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:199,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:214,77,0,0,0,0,,
15/07/2022 5:48:01 a.m.:230,77,0,0,0,0,,
