Timestamp,HeartRate,CognitiveLoad,Attention,leftPupilDialation,rightPupilDialation,collidingObject,
15/07/2022 9:39:18 a.m.:960,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:18 a.m.:976,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:18 a.m.:993,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:8,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:36,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:53,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:77,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:93,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:108,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:124,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:151,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:170,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:188,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:210,77,0,0,3.581543,-1,Floor,
15/07/2022 9:39:19 a.m.:232,77,0,0,3.241989,2.757309,AF4,
15/07/2022 9:39:19 a.m.:256,77,0,0,3.241989,2.757309,AF4,
15/07/2022 9:39:19 a.m.:282,77,0,0,3.241989,2.757309,AF4,
15/07/2022 9:39:19 a.m.:299,77,0,0,3.241989,2.757309,AF4,
15/07/2022 9:39:19 a.m.:321,77,0,0,3.241989,2.757309,AF4,
15/07/2022 9:39:19 a.m.:345,77,0,0,-1,3.496368,Free_Wheel,
15/07/2022 9:39:19 a.m.:367,77,0,0,-1,3.241547,Free_Wheel,
15/07/2022 9:39:19 a.m.:405,77,0,0,3.218643,3.158981,Free_Wheel,
15/07/2022 9:39:19 a.m.:423,77,0,0,3.245163,2.998489,Free_Wheel,
15/07/2022 9:39:19 a.m.:440,77,0,0,3.201767,2.997284,Free_Wheel,
