TimeStamp,HeartRate,GSR,Attention,leftPupilDialation,rightPupilDialation,rightPupilDialation,collidingObjectName,
13/07/2022 11:18:29 p.m.:188,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:199,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:210,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:222,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:233,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:244,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:256,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:267,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:278,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:289,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:300,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:311,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:322,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:342,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:355,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:369,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:383,0,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:400,0.12,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:421,0.3,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:436,0.39,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:451,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:464,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:472,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:483,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:495,0.42,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:509,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:522,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:528,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:539,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:551,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:561,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:572,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:583,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:594,0.45,0,0,0,0,,,
13/07/2022 11:18:29 p.m.:606,0.45,0,0,0,0,,,
